NOI538.1,GPA.300,RC106.53,RC277.23,XR104.51,XR277.09,RCAA49.78,XR+47.46,RCWIN5.86,XRWIN5.59,BABIP.323
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.35,0.068,10.47,3.66,0.302,13.43,0.423,0.952,16.00,43.6%,
