打率.277,試合139,打席597,打数537,得点83,安打149,内安7,内安率4.7,２Ｂ34,３Ｂ4,本塁40,HR勝敗25-11-0,塁打311,打点102,三振163
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
57,9,0,0,3,10,2,83.3,6,0,5,.273,.345,.579,.924
