打率.267,試合80,打席332,打数285,得点33,安打76,内安6,内安率7.9,２Ｂ12,３Ｂ2,本塁8,HR勝敗6-1-1,塁打116,打点40,三振67
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
40,1,2,1,4,1,1,50.0,7,0,6,.257,.356,.407,.764
