NOI492.2,GPA.262,RC42.75,RC275.22,XR43.24,XR275.28,RCAA10.07,XR+10.18,RCWIN1.16,XRWIN1.18,BABIP.318
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.60,0.090,8.30,4.96,0.140,35.63,0.281,0.731,1.78,34.6%,
