HQS率-,SQS率-,被打率.184,被BABIP.269,被出塁率.220,被長打率.252,K/BB9.00,K/911.05,BB/91.23,HR/90.31,GO/AO0.36,援護率-,IPR7.33,NHB%44.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.24,88.5%,6.90,0.80,5.91,258,6.0,0,0,29.1,4,11,22,
