球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,57,47.1%,145.5,13,11,13,9,64.9%,35.1%,.263,19,5,0,8,0,0
フォーク,11,9.1%,135.8,3,1,0,6,36.4%,75.0%,.000,2,0,0,1,0,0
カットボール,11,9.1%,136.0,0,5,5,0,90.9%,0.0%,.000,1,0,0,0,0,0
スライダー,10,8.3%,122.2,1,3,2,2,60.0%,20.0%,.000,2,0,0,0,0,0
カーブ,8,6.6%,117.9,0,5,1,2,75.0%,0.0%,-,0,0,0,0,0,0
チェンジアップ,7,5.8%,124.6,1,0,1,5,28.6%,50.0%,-,0,0,0,0,1,0
ツーシーム,6,5.0%,135.0,0,2,1,3,50.0%,0.0%,-,0,0,0,0,0,0
ナックルカーブ,4,3.3%,127.0,0,0,0,2,0.0%,0.0%,.500,2,1,0,0,0,0
スプリット,2,1.7%,141.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
シンカー,2,1.7%,130.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
シュート,2,1.7%,145.5,0,0,0,1,0.0%,0.0%,1.000,1,1,0,0,0,0
スラーブ,1,0.8%,-,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
