NOI358.6,GPA.189,RC2.03,RC272.50,XR2.01,XR272.46,RCAA-0.82,XR+-0.86,RCWIN-0.10,XRWIN-0.10,BABIP.350
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.11,0.025,30.00,3.33,0.034,-,0.069,0.409,-,33.3%,
