HQS率18.8%,SQS率18.8%,被打率.260,被BABIP.311,被出塁率.313,被長打率.367,K/BB3.08,K/97.24,BB/92.35,HR/90.66,GO/AO0.72,援護率2.30,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.99,73.6%,-5.27,-0.62,-1.41,317,0.0,98,25,3.0,0,0,1,
