条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.275,204,189,52,9,0,3,42,9,2,3,1
対左打者,0.244,198,176,43,7,1,4,35,16,2,3,1
