条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.235,276,243,57,9,2,5,63,24,4,1,4
対左投手,0.25,146,124,31,3,0,2,28,16,5,0,1
