NOI438.9,GPA.232,RC44.70,RC274.06,XR46.17,XR274.20,RCAA3.16,XR+4.14,RCWIN0.37,XRWIN0.48,BABIP.296
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.44,0.086,10.55,4.64,0.101,52.43,0.264,0.667,10.37,32.7%,
