球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,731,45.4%,147.2,53,147,146,251,47.3%,15.9%,.217,175,38,4,43,19,6
スライダー,178,11.0%,129.0,18,32,27,70,43.3%,23.7%,.231,39,9,0,9,4,1
カットボール,175,10.9%,138.4,25,29,30,60,48.0%,29.1%,.263,38,10,0,7,5,1
フォーク,147,9.1%,136.4,31,14,11,68,38.1%,47.7%,.257,35,9,1,12,1,0
チェンジアップ,105,6.5%,131.1,15,10,16,53,39.0%,35.7%,.111,18,2,0,8,4,1
スプリット,72,4.5%,139.9,15,8,9,28,44.4%,41.7%,.167,18,3,0,7,1,0
ツーシーム,70,4.3%,141.1,7,15,10,25,45.7%,23.3%,.400,15,6,1,2,3,0
カーブ,52,3.2%,116.3,6,11,5,22,42.3%,31.6%,.444,9,4,0,1,1,0
シュート,27,1.7%,139.5,1,5,6,9,44.4%,7.7%,.667,6,4,0,0,0,0
シンカー,23,1.4%,132.7,4,0,3,8,30.4%,26.7%,.111,9,1,0,2,0,0
ナックルカーブ,11,0.7%,126.4,0,2,0,8,18.2%,0.0%,1.000,1,1,0,0,1,0
パワーカーブ,10,0.6%,123.7,2,2,3,1,70.0%,28.6%,.000,2,0,0,0,0,0
縦スライダー,6,0.4%,130.8,0,1,0,3,16.7%,0.0%,.500,2,1,1,0,1,0
パーム,2,0.1%,114.5,1,0,0,1,50.0%,100.0%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,98.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.1%,138.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
