打率.240,試合114,打席422,打数367,得点36,安打88,内安8,内安率9.1,２Ｂ12,３Ｂ2,本塁7,HR勝敗5-2-0,塁打125,打点32,三振91
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
40,0,9,1,5,20,0,100.0,1,0,12,.179,.325,.341,.666
