条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.25,77,72,18,3,0,0,14,5,0,0,0
対左投手,0.182,24,22,4,2,0,0,7,2,0,0,0
