NOI206.9,GPA.111,RC-0.44,RC27-0.28,XR-0.25,XR27-0.16,RCAA-5.10,XR+-4.94,RCWIN-0.60,XRWIN-0.58,BABIP.214
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.06,0.019,49.00,2.72,0.043,-,0.065,0.220,-,38.8%,
