アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,42,37.2%,安打,38,70.4%
フライ,30,26.5%,四死球,13,24.1%
空三振,31,27.4%,失策出塁,3,5.6%
見三振,9,8.0%,野選,0,0.0%
犠打,1,0.9%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
