球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
スライダー,295,45.6%,132.4,54,73,46,86,58.6%,39.7%,0.117,60,7,0,25,7,0
ストレート,265,41.0%,148.0,11,38,61,96,41.5%,8.4%,0.385,65,25,2,7,3,1
フォーク,87,13.4%,135.9,16,7,16,29,44.8%,31.4%,0.222,27,6,1,8,0,0
