チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,0.0,5,0,5,1,0,1,0,2,1,1,0,5.0,4,0,6,1,0,0,0,1.0,0.211,-,99.0
阪神,10.5,8,0,8,0,2,3,0,3,0,0,2,6.0,10,1,8,6,1,8,7,2.67,0.357,-,0.75
ＤｅＮＡ,2.57,7,0,7,0,0,1,0,1,0,0,0,7.0,3,1,5,1,0,2,2,0.57,0.125,-,3.5
広島,2.0,9,0,9,1,1,2,0,3,1,1,1,9.0,12,0,8,3,0,2,2,1.67,0.343,-,4.5
ヤクルト,5.4,6,0,6,0,0,1,0,1,0,0,0,6.2,8,1,5,0,0,4,4,1.2,0.296,-,1.67
