HQS率-,SQS率-,被打率.250,被BABIP.318,被出塁率.307,被長打率.362,K/BB3.33,K/99.00,BB/92.70,HR/90.68,GO/AO1.40,援護率-,IPR2.50,NHB%35.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.57,74.8%,-1.48,-0.17,-1.79,260,5.0,0,0,40.0,16,15,35,
