防御率3.38,試合42,先発0,救援42,連投(試)0,連投(日)0,勝利2,敗戦3,HLD12,Ｓ0,ＨＰ14,ＳＰ2,救勝2,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,40.0,167,647,16.2,38,3,40,12,2,1,2,0,16,15,1.25,-
