アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,13,22.8%,安打,12,75.0%
フライ,19,33.3%,四死球,3,18.8%
空三振,18,31.6%,失策出塁,1,6.3%
見三振,7,12.3%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
