打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,13,2,.154,0,6,0,0,0,0.154
2打席目,12,2,.167,0,2,1,0,0,0.231
3打席目,13,3,.231,0,6,0,0,0,0.231
4打席目,8,2,.250,0,2,0,0,1,0.222
5打席目以上,0,0,-,0,0,1,0,0,
