NOI292.4,GPA.158,RC2.71,RC271.24,XR3.29,XR271.51,RCAA-4.47,XR+-3.98,RCWIN-0.52,XRWIN-0.46,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.08,0.032,36.50,2.92,0.087,69.00,0.116,0.362,0.00,38.4%,
