NOI0.0,GPA.000,RC-0.26,RC27-1.75,XR-0.23,XR27-1.55,RCAA-0.64,XR+-0.61,RCWIN-0.08,XRWIN-0.07,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,0.000,-,0.0%,
