打率.286,試合96,打席430,打数384,得点45,安打110,内安20,内安率18.2,２Ｂ13,３Ｂ2,本塁3,HR勝敗2-1-0,塁打136,打点36,三振73
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
37,2,5,4,0,35,4,89.7,4,0,5,.330,.357,.354,.711
