種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,0.71,27,0,27,1,0,11,5,12,6,1,0,25.1,16,0,31,8,4,2,2,0.95,0.186,-,12.67
Visitor,2.4,33,0,33,1,3,14,7,15,8,1,3,30.0,28,3,29,7,0,8,8,1.17,0.255,-,3.75
