防御率1.63,試合60,先発0,救援60,連投(試)0,連投(日)0,勝利2,敗戦3,HLD25,Ｓ12,ＨＰ27,ＳＰ14,救勝2,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,55.1,224,872,15.8,44,3,60,15,5,4,5,0,10,10,1.07,-
