左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
73.7% (14),73.7% (14),73.7% (14),15.8% (3),15.8% (3),15.8% (3),10.5% (2),10.5% (2),10.5% (2)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
33.3% (1),- (0),81.3% (13),33.3% (1),- (0),12.5% (2),33.3% (1),- (0),6.3% (1)
