HQS率0.0%,SQS率0.0%,被打率.266,被BABIP.304,被出塁率.314,被長打率.418,K/BB3.33,K/98.85,BB/92.66,HR/91.77,GO/AO0.26,援護率0.00,IPR2.29,NHB%29.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.21,74.8%,-3.44,-0.40,-4.13,111,4.1,3,0,18.1,8,5,13,
