チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,3.16,6,6,0,2,3,0,0,0,0,0,0,37.0,37,6,24,5,0,14,13,1.14,0.257,2.85,-
阪神,2.6,3,3,0,0,3,0,0,0,0,0,0,17.1,15,1,10,5,0,7,5,1.15,0.227,0.5,-
ＤｅＮＡ,5.75,4,4,0,3,1,0,0,0,0,0,0,20.1,23,2,11,10,1,14,13,1.62,0.291,6.86,-
ヤクルト,2.03,5,5,0,2,0,0,0,0,0,0,0,31.0,24,2,23,11,1,7,7,1.13,0.207,4.36,-
中日,1.93,2,2,0,0,1,0,0,0,0,0,0,14.0,9,0,9,2,0,3,3,0.79,0.188,0.0,-
