防御率3.48,試合23,先発23,救援0,連投(試)0,連投(日)0,勝利7,敗戦9,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.438,134.2,571,2160,16.0,131,11,88,38,5,2,4,0,57,52,1.25,60.9%
