打率.226,試合130,打席496,打数443,得点45,安打100,内安2,内安率2.0,２Ｂ9,３Ｂ0,本塁23,HR勝敗16-5-0,塁打178,打点62,三振126
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
45,3,4,0,4,0,0,-,9,0,7,.176,.300,.402,.702
