左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
47.1% (8),47.1% (8),47.1% (8),29.4% (5),29.4% (5),29.4% (5),23.5% (4),23.5% (4),23.5% (4)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
50.0% (2),- (0),46.2% (6),50.0% (2),- (0),23.1% (3),0.0% (0),- (0),30.8% (4)
