NOI266.3,GPA.137,RC0.69,RC270.93,XR0.72,XR270.97,RCAA-1.68,XR+-1.67,RCWIN-0.20,XRWIN-0.20,BABIP.222
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.034,25.00,5.00,0.000,-,0.087,0.316,0.00,24.0%,
