球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,598,42.5%,147.5,44,118,113,191,46.0%,15.2%,.281,146,41,5,22,12,6
スライダー,210,14.9%,131.4,27,27,28,79,39.0%,26.0%,.237,59,14,0,10,2,0
フォーク,138,9.8%,135.1,20,13,25,47,42.0%,25.6%,.256,43,11,0,10,1,0
カットボール,128,9.1%,137.8,20,21,17,41,45.3%,30.3%,.250,32,8,0,4,1,0
ツーシーム,79,5.6%,140.8,5,14,12,27,39.2%,13.2%,.261,23,6,1,2,0,0
チェンジアップ,72,5.1%,129.0,14,8,9,25,43.1%,35.9%,.300,20,6,0,4,0,0
カーブ,53,3.8%,117.7,4,10,9,19,43.4%,16.7%,.538,13,7,0,2,0,0
スプリット,51,3.6%,140.1,8,5,12,15,49.0%,25.8%,.200,15,3,0,4,0,0
シュート,27,1.9%,140.5,3,1,9,8,48.1%,16.7%,.500,6,3,0,0,0,0
ナックルカーブ,14,1.0%,125.8,2,1,0,9,21.4%,50.0%,.333,3,1,0,1,0,0
縦スライダー,12,0.9%,131.1,3,2,1,4,50.0%,50.0%,.000,3,0,0,1,0,0
パワーカーブ,9,0.6%,122.6,1,1,1,3,33.3%,20.0%,.000,3,0,0,0,0,0
シンカー,9,0.6%,135.7,2,0,4,2,66.7%,28.6%,.000,2,0,0,1,0,1
ワンシーム,4,0.3%,140.5,0,1,1,2,50.0%,0.0%,-,0,0,0,0,0,0
スローカーブ,2,0.1%,98.5,0,2,0,0,100.0%,-%,-,0,0,0,0,0,0
