左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
50.5% (152),50.5% (152),50.5% (152),22.3% (67),22.3% (67),22.3% (67),27.2% (82),27.2% (82),27.2% (82)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
45.7% (43),83.3% (5),51.7% (104),33.0% (31),0.0% (0),17.9% (36),21.3% (20),16.7% (1),30.3% (61)
