HQS率0.0%,SQS率0.0%,被打率.259,被BABIP.291,被出塁率.305,被長打率.349,K/BB2.64,K/95.26,BB/91.99,HR/90.54,GO/AO0.91,援護率1.15,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.14,77.9%,1.46,0.17,-0.23,149,0.0,55,7,0.0,0,0,0,
