球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,68,58.1%,145.0,5,9,19,25,48.5%,14.7%,0.25,12,3,1,2,1,0
スライダー,22,18.8%,128.0,3,4,3,9,45.5%,33.3%,0.25,4,1,0,1,0,0
フォーク,12,10.3%,135.3,4,0,2,4,50.0%,50.0%,0.25,4,1,0,3,0,0
カーブ,9,7.7%,111.5,1,3,2,3,66.7%,33.3%,0.0,1,0,0,1,1,0
カットボール,6,5.1%,140.3,0,0,1,3,16.7%,0.0%,1.0,2,2,0,0,0,0
