HQS率0.0%,SQS率0.0%,被打率.304,被BABIP.375,被出塁率.346,被長打率.478,K/BB3.50,K/911.12,BB/93.18,HR/91.59,GO/AO0.43,援護率0.00,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.65,52.6%,-2.94,-0.35,-3.13,17,0.0,4,0,1.0,0,0,1,
