条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.274,259,234,64,13,1,4,4,42,25,0,0,0,0.344
1塁,0.253,91,83,21,5,0,2,6,10,6,1,1,0,0.311
2塁,0.182,50,44,8,3,0,0,7,7,6,0,0,0,0.28
3塁,0.389,18,18,7,2,0,0,8,3,0,0,0,0,0.389
1・2塁,0.238,23,21,5,2,0,1,7,3,2,0,0,0,0.304
1・3塁,0.25,11,8,2,1,0,0,5,0,1,0,0,2,0.273
2・3塁,0.2,6,5,1,0,0,0,2,0,1,0,0,0,0.333
満塁,0.3,12,10,3,0,0,1,9,1,0,0,0,2,0.25
得点圏,0.245,120,106,26,8,0,2,38,14,10,0,0,4,0.3
