NOI266.7,GPA.140,RC0.10,RC270.65,XR0.12,XR270.78,RCAA-0.40,XR+-0.38,RCWIN-0.05,XRWIN-0.04,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.67,0.000,-,0.000,0.250,-,60.0%,
