HQS率0.0%,SQS率0.0%,被打率.311,被BABIP.367,被出塁率.326,被長打率.578,K/BB12.00,K/99.53,BB/90.79,HR/92.38,GO/AO2.00,援護率3.75,IPR0.50,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.32,74.1%,-2.79,-0.32,-1.17,44,1.0,12,5,1.0,2,0,0,
