球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,497,55.2%,150.8,82,78,139,141,60.2%,29.5%,0.156,96,15,2,42,9,0
フォーク,355,39.4%,134.3,78,38,74,128,53.5%,41.3%,0.194,67,13,0,32,5,2
カットボール,26,2.9%,145.0,2,4,7,7,50.0%,13.3%,0.286,7,2,0,1,0,0
カーブ,21,2.3%,116.6,0,7,1,10,38.1%,0.0%,0.333,3,1,0,0,0,0
スライダー,1,0.1%,133.0,0,0,0,0,0.0%,0.0%,1.0,1,1,0,0,0,0
