防御率1.44,試合51,先発0,救援51,連投(試)0,連投(日)0,勝利2,敗戦3,HLD19,Ｓ2,ＨＰ21,ＳＰ4,救勝2,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,50.0,195,900,18.0,32,2,75,14,0,2,2,0,9,8,0.92,-
