チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,0.319,24,93,91,6,29,3,0,1,35,13,16,2,1,0,0,0,3,0,1,0.333,0.385,0.718
日本ハム,0.242,24,103,95,4,23,2,0,1,28,6,22,3,1,0,5,0,0,2,1,0.265,0.295,0.56
ロッテ,0.236,25,100,89,11,21,2,0,0,23,5,22,10,0,0,0,1,0,0,2,0.31,0.258,0.568
オリックス,0.297,22,83,74,3,22,2,0,0,24,7,14,4,0,1,3,1,0,0,1,0.338,0.324,0.662
西武,0.31,24,97,87,10,27,3,0,0,30,11,17,7,0,1,2,0,3,0,4,0.368,0.345,0.713
