NOI428.4,GPA.225,RC51.82,RC273.52,XR51.00,XR273.46,RCAA-3.01,XR+-4.47,RCWIN-0.35,XRWIN-0.52,BABIP.343
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.27,0.039,19.89,5.46,0.045,171.00,0.107,0.525,4.00,23.9%,
