防御率1.87,試合38,先発0,救援38,連投(試)1,連投(日)1,勝利2,敗戦1,HLD11,Ｓ4,ＨＰ13,ＳＰ6,救勝2,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,33.2,130,532,15.8,20,1,36,12,0,0,5,0,8,7,0.95,-
