左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
41.9% (101),41.9% (101),41.9% (101),20.7% (50),20.7% (50),20.7% (50),37.3% (90),37.3% (90),37.3% (90)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
44.2% (38),0.0% (0),41.7% (63),27.9% (24),0.0% (0),17.2% (26),27.9% (24),100.0% (4),41.1% (62)
