NOI283.3,GPA.153,RC0.09,RC270.28,XR0.46,XR271.39,RCAA-0.89,XR+-0.53,RCWIN-0.10,XRWIN-0.06,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.50,0.075,10.00,5.00,0.125,-,0.125,0.250,-,30.0%,
