NOI321.0,GPA.165,RC3.19,RC271.51,XR3.71,XR271.76,RCAA-3.94,XR+-3.45,RCWIN-0.46,XRWIN-0.41,BABIP.259
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.31,0.050,15.00,4.69,-0.000,-,0.087,0.357,0.00,28.0%,
