球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,167,51.9%,148.9,9,34,43,53,51.5%,11.3%,.188,32,6,0,5,3,0
フォーク,37,11.5%,136.2,8,3,4,14,40.5%,40.0%,.143,14,2,0,6,0,0
スライダー,31,9.6%,131.3,2,7,6,13,48.4%,18.2%,.000,4,0,0,1,0,0
カットボール,24,7.5%,138.7,3,5,4,8,50.0%,27.3%,.167,6,1,0,2,0,0
スプリット,18,5.6%,138.5,3,4,0,7,38.9%,42.9%,.333,6,2,0,2,0,0
ツーシーム,12,3.7%,140.6,0,3,0,7,25.0%,0.0%,.000,2,0,0,0,0,0
カーブ,9,2.8%,121.1,0,3,0,3,33.3%,0.0%,1.000,3,3,0,0,0,0
チェンジアップ,8,2.5%,133.9,1,1,1,4,37.5%,33.3%,.000,1,0,0,0,0,0
シュート,8,2.5%,147.7,0,3,0,5,37.5%,-%,-,0,0,0,0,1,0
ナックルカーブ,5,1.6%,122.6,0,2,0,2,40.0%,0.0%,.000,1,0,0,0,0,0
シンカー,2,0.6%,133.0,0,0,2,0,100.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,1,0.3%,111.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
