左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
53.5% (115),53.5% (115),53.5% (115),18.6% (40),18.6% (40),18.6% (40),27.9% (60),27.9% (60),27.9% (60)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
59.7% (40),80.0% (12),47.4% (63),20.9% (14),13.3% (2),18.0% (24),19.4% (13),6.7% (1),34.6% (46)
