NOI167.5,GPA.086,RC-0.89,RC27-0.50,XR-0.58,XR27-0.32,RCAA-6.02,XR+-5.74,RCWIN-0.71,XRWIN-0.68,BABIP.179
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.06,0.019,54.00,3.18,0.000,-,0.022,0.150,-,33.3%,
