左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
32.2% (55),32.2% (55),32.2% (55),25.1% (43),25.1% (43),25.1% (43),42.7% (73),42.7% (73),42.7% (73)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
25.0% (12),0.0% (0),36.1% (43),35.4% (17),0.0% (0),21.8% (26),39.6% (19),100.0% (4),42.0% (50)
