NOI412.6,GPA.221,RC21.42,RC273.44,XR22.35,XR273.59,RCAA-1.32,XR+-0.66,RCWIN-0.15,XRWIN-0.08,BABIP.276
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.39,0.049,16.50,6.42,0.104,52.75,0.156,0.530,0.00,23.4%,
