球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,350,41.9%,148.6,12,63,68,117,40.9%,7.1%,.235,102,24,3,14,8,1
フォーク,88,10.5%,137.1,29,5,15,24,55.7%,49.2%,.238,21,5,0,7,2,0
カットボール,87,10.4%,138.1,4,22,20,27,52.9%,10.5%,.357,14,5,0,1,2,0
スライダー,84,10.0%,129.2,7,22,7,36,42.9%,26.9%,.235,17,4,0,5,1,1
チェンジアップ,76,9.1%,130.5,13,11,14,23,50.0%,31.0%,.333,15,5,1,0,0,0
カーブ,48,5.7%,122.8,6,12,1,19,39.6%,35.3%,.250,12,3,0,2,1,0
ツーシーム,37,4.4%,146.1,2,6,7,13,40.5%,11.1%,.300,10,3,0,1,0,0
スプリット,23,2.8%,142.1,7,2,2,7,47.8%,50.0%,.000,7,0,0,2,0,0
シンカー,16,1.9%,134.1,4,2,3,2,56.3%,33.3%,.167,6,1,0,1,0,0
ナックルカーブ,14,1.7%,127.3,2,2,2,6,42.9%,33.3%,.500,4,2,0,2,0,0
縦スライダー,6,0.7%,130.3,1,1,0,3,33.3%,50.0%,.000,2,0,0,1,0,0
シュート,4,0.5%,147.0,0,0,1,2,25.0%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,1,0.1%,119.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.1%,133.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
パーム,1,0.1%,128.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
