打率.246,試合71,打席231,打数211,得点14,安打52,内安3,内安率5.8,２Ｂ8,３Ｂ1,本塁4,HR勝敗1-3-0,塁打74,打点20,三振36
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,0,2,1,3,0,3,0.0,8,0,2,.271,.296,.351,.646
