NOI197.0,GPA.107,RC-0.19,RC27-0.21,XR-0.03,XR27-0.03,RCAA-2.56,XR+-2.41,RCWIN-0.30,XRWIN-0.28,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,3.57,0.045,-,0.091,0.238,0.00,28.0%,
