HQS率-,SQS率-,被打率.250,被BABIP.322,被出塁率.309,被長打率.300,K/BB3.15,K/98.86,BB/92.81,HR/90.22,GO/AO0.81,援護率-,IPR2.78,NHB%31.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.16,74.6%,0.48,0.06,2.07,245,9.0,0,0,41.2,15,15,36,
