球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,408,59.9%,152.1,39,58,95,139,47.1%,18.5%,.280,93,26,0,20,11,1
スライダー,204,30.0%,133.4,28,36,35,66,48.5%,27.5%,.226,53,12,1,15,2,1
チェンジアップ,61,9.0%,139.2,10,8,11,24,47.5%,34.5%,.143,14,2,0,6,0,0
カーブ,8,1.2%,121.0,1,3,0,4,50.0%,100.0%,-,0,0,0,0,0,0
