NOI148.1,GPA.078,RC-0.33,RC27-1.11,XR-0.26,XR27-0.88,RCAA-1.18,XR+-1.12,RCWIN-0.14,XRWIN-0.13,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.80,0.000,-,0.000,0.125,-,55.6%,
