防御率4.43,試合12,先発8,救援4,連投(試)0,連投(日)0,勝利2,敗戦3,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,44.2,198,781,17.5,55,5,28,15,1,3,0,0,22,22,1.57,0.0%
