アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,44,35.2%,安打,55,75.3%
フライ,48,38.4%,四死球,18,24.7%
空三振,24,19.2%,失策出塁,0,0.0%
見三振,4,3.2%,野選,0,0.0%
犠打,5,4.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
