条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,0.306,107,98,30,3,1,2,16,7,2,0,0,0.364
1塁,0.444,41,36,16,2,1,2,6,3,0,2,0,0.487
2塁,0.333,12,9,3,1,0,1,2,2,0,1,0,0.455
3塁,0.5,8,6,3,0,0,0,2,1,1,0,0,0.625
1・2塁,0.167,14,12,2,0,0,0,1,0,0,2,0,0.167
1・3塁,0.0,8,5,0,0,0,0,1,2,0,0,1,0.25
2・3塁,0.0,4,4,0,0,0,0,0,0,0,0,0,0.0
満塁,0.25,4,4,1,0,0,0,0,0,0,0,0,0.25
得点圏,0.225,50,40,9,1,0,1,6,5,1,3,1,0.319
